dataset,embedding_dimension,model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std
caffe,64,embedding_centroid,0.782171,0.039335,0.638873,0.033211,0.76386,0.054416,0.654117,0.044509,0.76386,0.054416
caffe,64,embedding_lr,0.820543,0.037609,0.665572,0.039435,0.779781,0.05356,0.68959,0.046482,0.899254,0.031211
caffe,64,hybrid_lr,0.893411,0.030853,0.753371,0.075553,0.760219,0.066762,0.750153,0.065003,0.917193,0.029873
caffe,128,embedding_centroid,0.800388,0.047512,0.656675,0.040445,0.785746,0.056601,0.676694,0.053571,0.785746,0.056601
caffe,128,embedding_lr,0.844961,0.03526,0.692058,0.041238,0.806623,0.059414,0.720358,0.046291,0.915,0.025952
caffe,128,hybrid_lr,0.902713,0.028067,0.774068,0.073009,0.768377,0.068479,0.765059,0.061723,0.927939,0.027733
caffe,256,embedding_centroid,0.81124,0.043043,0.661573,0.038444,0.784649,0.055819,0.68417,0.049519,0.784649,0.055819
caffe,256,embedding_lr,0.85,0.038183,0.69363,0.047581,0.792105,0.05944,0.720237,0.052197,0.921404,0.023285
caffe,256,hybrid_lr,0.90814,0.02633,0.794239,0.083133,0.771447,0.063026,0.77358,0.060745,0.927675,0.02706
caffe,512,embedding_centroid,0.820543,0.037235,0.66813,0.033971,0.788465,0.043813,0.692987,0.042168,0.788465,0.043813
caffe,512,embedding_lr,0.857752,0.030792,0.699494,0.037236,0.789254,0.049347,0.725675,0.040257,0.920482,0.024406
caffe,512,hybrid_lr,0.91124,0.025085,0.806905,0.081093,0.765965,0.056651,0.775771,0.05421,0.928333,0.027757
incubator-mxnet,64,embedding_centroid,0.849247,0.025889,0.714537,0.030895,0.843179,0.045535,0.748506,0.036961,0.843179,0.045535
incubator-mxnet,64,embedding_lr,0.874409,0.025568,0.744475,0.034783,0.865432,0.043142,0.781153,0.038026,0.943852,0.020977
incubator-mxnet,64,hybrid_lr,0.915484,0.019784,0.805916,0.039091,0.861327,0.048794,0.82837,0.039566,0.949543,0.019221
incubator-mxnet,128,embedding_centroid,0.859785,0.028093,0.726793,0.034289,0.850648,0.040756,0.761755,0.038795,0.850648,0.040756
incubator-mxnet,128,embedding_lr,0.886882,0.024361,0.760143,0.03501,0.874722,0.043296,0.797647,0.038026,0.943457,0.0193
incubator-mxnet,128,hybrid_lr,0.915484,0.017798,0.806436,0.035837,0.851389,0.044142,0.825297,0.036576,0.948469,0.018107
incubator-mxnet,256,embedding_centroid,0.865591,0.026524,0.731877,0.034218,0.846173,0.039723,0.766088,0.037194,0.846173,0.039723
incubator-mxnet,256,embedding_lr,0.890538,0.022444,0.764641,0.034732,0.862623,0.038788,0.79824,0.034412,0.947543,0.018587
incubator-mxnet,256,hybrid_lr,0.913548,0.016566,0.805186,0.03625,0.83537,0.04229,0.817393,0.034071,0.949975,0.016976
incubator-mxnet,512,embedding_centroid,0.878065,0.020912,0.746927,0.028497,0.857593,0.033709,0.782531,0.030216,0.857593,0.033709
incubator-mxnet,512,embedding_lr,0.905806,0.015948,0.78821,0.027076,0.882747,0.035737,0.822187,0.025266,0.952469,0.015745
incubator-mxnet,512,hybrid_lr,0.916129,0.017195,0.81112,0.038304,0.837562,0.046292,0.821488,0.036476,0.952827,0.015991
keras,64,embedding_centroid,0.795025,0.024975,0.72573,0.020891,0.811387,0.024656,0.742376,0.025155,0.811387,0.024656
keras,64,embedding_lr,0.826202,0.027497,0.752549,0.02705,0.833087,0.027958,0.774159,0.030337,0.916174,0.017557
keras,64,hybrid_lr,0.878275,0.01874,0.808427,0.025484,0.854004,0.025281,0.826557,0.024439,0.932409,0.015506
keras,128,embedding_centroid,0.807463,0.024413,0.73619,0.022064,0.821316,0.025786,0.755188,0.02572,0.821316,0.025786
keras,128,embedding_lr,0.844776,0.023203,0.77084,0.024578,0.847475,0.023681,0.794168,0.026149,0.922617,0.015733
keras,128,hybrid_lr,0.881592,0.018588,0.813451,0.02672,0.854273,0.024944,0.829895,0.024335,0.934837,0.014914
keras,256,embedding_centroid,0.834992,0.026842,0.761853,0.027061,0.841631,0.026141,0.784147,0.029369,0.841631,0.026141
keras,256,embedding_lr,0.862189,0.021554,0.790187,0.024005,0.862947,0.020282,0.814243,0.024161,0.933227,0.013613
keras,256,hybrid_lr,0.88607,0.021522,0.819929,0.030721,0.859807,0.02893,0.835999,0.02844,0.939629,0.013651
keras,512,embedding_centroid,0.826866,0.02287,0.751337,0.023814,0.828061,0.029253,0.772771,0.026321,0.828061,0.029253
keras,512,embedding_lr,0.86335,0.018966,0.790738,0.021933,0.860955,0.022658,0.814536,0.022267,0.936392,0.013444
keras,512,hybrid_lr,0.888557,0.018459,0.823256,0.026491,0.861672,0.026304,0.838917,0.024493,0.940346,0.013827
pytorch,64,embedding_centroid,0.836136,0.028781,0.706203,0.026431,0.847194,0.0331,0.73745,0.032724,0.847194,0.0331
pytorch,64,embedding_lr,0.862979,0.021504,0.732308,0.02134,0.866022,0.026714,0.768696,0.024401,0.935253,0.016346
pytorch,64,hybrid_lr,0.899115,0.015779,0.77483,0.02707,0.850481,0.039932,0.803206,0.028594,0.94243,0.013453
pytorch,128,embedding_centroid,0.839971,0.023958,0.707406,0.021865,0.844002,0.026714,0.739708,0.026758,0.844002,0.026714
pytorch,128,embedding_lr,0.866667,0.020648,0.735655,0.021928,0.865196,0.02132,0.772366,0.023572,0.940463,0.014022
pytorch,128,hybrid_lr,0.899558,0.01867,0.776442,0.034413,0.847795,0.038464,0.803394,0.032437,0.945178,0.012755
pytorch,256,embedding_centroid,0.841003,0.027225,0.708027,0.02633,0.841163,0.031309,0.739967,0.031502,0.841163,0.031309
pytorch,256,embedding_lr,0.873451,0.020545,0.74231,0.024849,0.862717,0.027259,0.778651,0.025887,0.940597,0.013776
pytorch,256,hybrid_lr,0.899705,0.015989,0.775562,0.029557,0.839547,0.04134,0.80033,0.030097,0.944244,0.012798
pytorch,512,embedding_centroid,0.84646,0.02875,0.71608,0.027914,0.854586,0.026805,0.749659,0.033139,0.854586,0.026805
pytorch,512,embedding_lr,0.876844,0.020028,0.746972,0.025362,0.867113,0.027826,0.783636,0.02547,0.942114,0.013057
pytorch,512,hybrid_lr,0.903245,0.016788,0.783332,0.031434,0.847459,0.034274,0.807909,0.027441,0.94579,0.012731
tensorflow,64,embedding_centroid,0.856972,0.014509,0.773047,0.016623,0.861155,0.019581,0.800962,0.018273,0.861155,0.019581
tensorflow,64,embedding_lr,0.884937,0.012527,0.806395,0.015551,0.891335,0.017539,0.836126,0.016234,0.952827,0.010717
tensorflow,64,hybrid_lr,0.909247,0.014072,0.839383,0.020187,0.903863,0.017611,0.865127,0.01906,0.962847,0.009318
tensorflow,128,embedding_centroid,0.866741,0.013911,0.783906,0.016528,0.868085,0.018568,0.812083,0.017675,0.868085,0.018568
tensorflow,128,embedding_lr,0.897241,0.010736,0.822037,0.014105,0.899826,0.015158,0.850973,0.014103,0.958686,0.009036
tensorflow,128,hybrid_lr,0.912155,0.012266,0.843524,0.017765,0.906264,0.013835,0.868924,0.016417,0.964986,0.008522
tensorflow,256,embedding_centroid,0.878896,0.013303,0.798228,0.016551,0.877094,0.02033,0.826323,0.017798,0.877094,0.02033
tensorflow,256,embedding_lr,0.903803,0.012069,0.830899,0.016069,0.906459,0.016073,0.859617,0.015957,0.960121,0.009386
tensorflow,256,hybrid_lr,0.917972,0.012059,0.852403,0.017961,0.910608,0.015671,0.876492,0.016751,0.96539,0.008766
tensorflow,512,embedding_centroid,0.889411,0.013924,0.811721,0.018116,0.883873,0.020585,0.838816,0.018831,0.883873,0.020585
tensorflow,512,embedding_lr,0.913199,0.012032,0.844112,0.017388,0.915904,0.014658,0.872161,0.016022,0.961707,0.009399
tensorflow,512,hybrid_lr,0.919612,0.011661,0.855025,0.017718,0.911923,0.016462,0.87865,0.016385,0.965851,0.008853
